                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8465,                 4.6777,                 1.6384,                      0,                      0,                      0,                      0,                 2.9058,                 4.4871,                 1.2996,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                  3.349,                 4.6399,                 1.4295,                      0,                      0,                      0,                      0,                 2.8054,                 4.4845,                 1.2502,              7.392e-05,              7.392e-05,              7.392e-05
                      3,                 3.5441,                   4.62,                 1.3521,                      0,                      0,                      0,                      0,                 2.6961,                 4.4655,                 1.1993,             0.00011011,             0.00011011,             0.00011011
                      4,                 3.2399,                 4.4204,                 1.3636,                      0,                      0,                      0,                      0,                 2.6828,                 4.4449,                 1.1629,              0.0001419,              0.0001419,              0.0001419
                      5,                 2.7467,                 4.3308,                 1.2128,                      0,                      0,                      0,                      0,                 2.6265,                 4.3996,                 1.1271,             0.00016929,             0.00016929,             0.00016929
                      6,                 2.8658,                 4.2762,                 1.2284,                      0,                      0,                      0,                      0,                 2.5149,                 4.3619,                   1.09,             0.00019229,             0.00019229,             0.00019229
                      7,                 3.0242,                 4.1722,                 1.1883,                      0,                      0,                      0,                      0,                  2.435,                 4.3292,                 1.0607,             0.00021088,             0.00021088,             0.00021088
                      8,                 2.6753,                 4.0827,                 1.1785,                      0,                      0,                      0,                      0,                 2.3845,                 4.2918,                 1.0468,             0.00022507,             0.00022507,             0.00022507
                      9,                 2.4817,                  3.976,                  1.065,                      0,                      0,                      0,                      0,                 2.3687,                 4.2655,                  1.043,             0.00023487,             0.00023487,             0.00023487
                     10,                 2.5557,                 3.8731,                 1.0636,                      0,                      0,                      0,                      0,                 2.3687,                 4.2655,                  1.043,             0.00024026,             0.00024026,             0.00024026
                     11,                 2.3773,                 3.7305,                 1.0615,                0.00193,                0.01389,                0.00102,                 0.0003,                 2.2826,                 4.1925,                  1.028,             0.00024125,             0.00024125,             0.00024125
                     12,                  2.223,                 3.5535,                 1.0049,                0.00824,                0.07008,                0.00509,                0.00195,                 2.1475,                 4.0931,                 1.0107,             0.00023785,             0.00023785,             0.00023785
                     13,                 2.2501,                 3.5382,                 1.0523,                0.00824,                0.07008,                0.00509,                0.00195,                 2.1475,                 4.0931,                 1.0107,             0.00023004,             0.00023004,             0.00023004
                     14,                 2.2398,                 3.3232,                0.99898,                0.01808,                0.17803,                0.01278,                0.00431,                 2.0889,                 3.9564,                 1.0024,             0.00021784,             0.00021784,             0.00021784
                     15,                 2.2941,                 3.2686,                 1.0407,                0.01808,                0.17803,                0.01278,                0.00431,                 2.0889,                 3.9564,                 1.0024,             0.00020124,             0.00020124,             0.00020124
                     16,                 2.1108,                 3.2343,                 1.0556,                0.02655,                0.31061,                0.04046,                0.01175,                 2.1025,                 3.7818,                 1.0064,             0.00018023,             0.00018023,             0.00018023
                     17,                 2.1221,                 3.1744,                  1.009,                0.02655,                0.31061,                0.04046,                0.01175,                 2.1025,                 3.7818,                 1.0064,             0.00015483,             0.00015483,             0.00015483
                     18,                 2.0277,                 3.1161,                  0.988,                0.02804,                0.38447,                0.09735,                0.03254,                 2.0699,                 3.5947,                 1.0076,             0.00012503,             0.00012503,             0.00012503
                     19,                 2.6218,                 3.0248,                 1.1016,                0.02804,                0.38447,                0.09735,                0.03254,                 2.0699,                 3.5947,                 1.0076,             9.0824e-05,             9.0824e-05,             9.0824e-05
                     20,                 2.4236,                 3.0288,                 1.0854,                0.02804,                0.38447,                0.09735,                0.03254,                 2.0699,                 3.5947,                 1.0076,             5.2223e-05,             5.2223e-05,             5.2223e-05
